,byWitnessRep,operatingError,reportingError
9576,False,0.1732880678157642,0.1728959062989959
9585,True,0.1272501086638028,0.0862321181829958
9792,False,0.1711216263006494,0.1574838711289878
9801,True,0.1227308813824856,0.0972572687129603
10008,False,0.1734133278538258,0.1754392446551362
10017,True,0.129497033656369,0.1060228840454641
10224,False,0.1612275065684877,0.1511636690680609
10233,True,0.1274945022327546,0.1002801377072369
10440,False,0.1736692284196925,0.160458108799639
10449,True,0.1218672706114739,0.1114742714561516
10656,False,0.1703451919859783,0.1673550343724814
10665,True,0.1274108691242024,0.0974400088831439
10872,False,0.1847959256342345,0.1677292872836566
10881,True,0.1268968701672655,0.0948589317067171
11088,False,0.1747360505581175,0.1677812319317457
11097,True,0.1288733196486791,0.0981550413959084
11304,False,0.1794220146815625,0.1577625486109335
11313,True,0.1280683613190293,0.1034716706009721
11520,False,0.1823197797005732,0.1649296583193202
11529,True,0.1325191733330052,0.1101165929014544
11736,False,0.1728632670506828,0.1563143175031221
11745,True,0.1326621150170322,0.0969951051724757
11952,False,0.1799796210944573,0.1722417157642122
11961,True,0.1280421757480163,0.1083811365736851
12168,False,0.1690450053012934,0.1577046483900109
12177,True,0.116443875992914,0.0936603417304705
12384,False,0.1646263649156304,0.1669065140771593
12393,True,0.1236719221841565,0.0941843763159311
12600,False,0.1724310811550091,0.1539290313692012
12609,True,0.1182324455137103,0.0868052181570736
12816,False,0.1828774109787636,0.173363163358796
12825,True,0.1300234312412631,0.0917114378586194
13032,False,0.1729217455799696,0.1536220680993257
13041,True,0.1322809675515343,0.0909296095478536
13248,False,0.1812340455801621,0.1624231930181385
13257,True,0.1287137260238646,0.1197709763549265
13464,False,0.1786997603329331,0.1553451661531391
13473,True,0.1207969730379254,0.0983701543765327
13680,False,0.1793036464950994,0.1586632990187478
13689,True,0.1277363415769334,0.1061040030354196
13896,False,0.1794148115651602,0.1690914350674344
13905,True,0.1269081882069995,0.0895748573362107
14112,False,0.1750111314147925,0.1514486080696453
14121,True,0.1364853319833191,0.1171493744802963
14328,False,0.1823263348234607,0.1569621845010329
14337,True,0.1231406619523273,0.0984150681117957
14544,False,0.1718960918912832,0.1632591537449034
14553,True,0.130797248736842,0.1112564388991804
14760,False,0.1783536540052807,0.156720416949081
14769,True,0.1391512020537838,0.0963543419798513
14976,False,0.1821302250507941,0.1561472609095524
14985,True,0.1318082996537826,0.0950102071117522
15192,False,0.179957059571028,0.1469827653378656
15201,True,0.1200645530997569,0.0848079925820477
15408,False,0.1792052041797909,0.1500793952104105
15417,True,0.1255372425336989,0.0866070954157596
15624,False,0.1757839731790536,0.1637957742836786
15633,True,0.1298050797462188,0.1045694187140199
15840,False,0.1739409827827777,0.1668574876230606
15849,True,0.1206504212512924,0.0953075344584083
16056,False,0.1767371673989516,0.1557955696032446
16065,True,0.1281715027996786,0.089010873147553
16272,False,0.1742946264334304,0.1511607451446161
16281,True,0.1360895359811922,0.1119595311610766
16488,False,0.1774642963739615,0.1490349810153479
16497,True,0.1274139285890417,0.0908378644961272
16704,False,0.1750414148279342,0.1605987081528433
16713,True,0.143160617815567,0.0944573599980256
16920,False,0.1648198695196024,0.1636420638132404
16929,True,0.1371456433320815,0.0972156951545557
17136,False,0.1711011883936558,0.162720196711583
17145,True,0.1274763623387787,0.1003406737533516
17352,False,0.183675133988333,0.1574177161145107
17361,True,0.1251023019373078,0.0978916326695051
17568,False,0.1758346145822601,0.1556316472856279
17577,True,0.1313501164359011,0.0877751298505656
17784,False,0.1764434525713552,0.1781381732593362
17793,True,0.124953489533885,0.0868017009557458
18000,False,0.1720043858576475,0.1574112623729216
18009,True,0.1219048834002273,0.1075408010517168
18216,False,0.1894157266109074,0.1576368299200848
18225,True,0.1183672581993104,0.1108431447689007
18432,False,0.168132510578084,0.1665454591358889
18441,True,0.1190929323448958,0.0882977271247272
18648,False,0.1699017363441677,0.1587239018008955
18657,True,0.1236845582373025,0.0959662779020694
18864,False,0.1758087757317356,0.1614732241234769
18873,True,0.1326967856326675,0.1021842960368997
19080,False,0.1785604803383362,0.1586222605425702
19089,True,0.1363139399259244,0.1207567491435949
19296,False,0.1723889498938582,0.1530137542537021
19305,True,0.124035784718559,0.1010334908499197
19512,False,0.1807064737600509,0.1653902036206463
19521,True,0.1294545401256357,0.0986226920379294
19728,False,0.1806611780696403,0.1712291495624071
19737,True,0.1334941556247799,0.1004215643417561
19944,False,0.1718179293883264,0.1402977648449794
19953,True,0.1302756710023083,0.0987708944335385
20160,False,0.1770653005002831,0.1693482779501817
20169,True,0.1353825613621447,0.101842437350893
20376,False,0.1627968819886909,0.1568274250702434
20385,True,0.1185647880448131,0.0967631420689528
20592,False,0.1759028504021962,0.1456621706678337
20601,True,0.1189925981847292,0.0953809392581492
20808,False,0.1737127311655777,0.1560600843264686
20817,True,0.1275503728648025,0.0941522010318474
21024,False,0.1750744283110946,0.1518393099556177
21033,True,0.1201169580808293,0.1039252410056915
21240,False,0.1786778558719295,0.154407323307936
21249,True,0.1299954449750949,0.098489486611337
21456,False,0.1584811402217039,0.1590399955553392
21465,True,0.1295662328096095,0.0927402756219617
21672,False,0.1724290717150295,0.1666860338867786
21681,True,0.1265132219640468,0.0928990471320246
21888,False,0.1719091940258028,0.1643629998402447
21897,True,0.1236236105313978,0.1002174784804839
22104,False,0.1785775903694606,0.1620311283433386
22113,True,0.1245997631384436,0.0875271370128028
22320,False,0.1723377763455204,0.1626672949055547
22329,True,0.1368310946166036,0.100002548495252
22536,False,0.188429817697034,0.1740715390892973
22545,True,0.1368230636002097,0.0994378494011946
22752,False,0.1717535924372862,0.1765878068297156
22761,True,0.1255781250594476,0.0892487431688555
22968,False,0.1825918892556418,0.1621372837673497
22977,True,0.1374437714848813,0.0884081139818759
23184,False,0.1657895081501001,0.1513534900744962
23193,True,0.1196832766326594,0.0937732735599277
23400,False,0.1734430682696225,0.1571168833084178
23409,True,0.1381442799420046,0.1005891120668924
23616,False,0.1723140420115538,0.1650922109415091
23625,True,0.1181519578328709,0.0999920103766148
23832,False,0.1749627841547319,0.1650755094085076
23841,True,0.1286454810201419,0.0881502013518369
24048,False,0.1844726833594593,0.1624420176805601
24057,True,0.126814953045049,0.1035734963615932
24264,False,0.1715370262044923,0.1601679424992307
24273,True,0.1277025732042114,0.0968581958915384
24480,False,0.1760153954271295,0.1661675867237567
24489,True,0.1286291962940648,0.1008050108633902
24696,False,0.1759088365571939,0.1626322489862936
24705,True,0.1322837043094249,0.1004532939025039
24912,False,0.1652374941189213,0.1522067508910661
24921,True,0.121984481245733,0.0999756478250275
25128,False,0.1822222211714234,0.1770528657409474
25137,True,0.1256981899916988,0.0938209777697063
25344,False,0.1701194223546745,0.1586093521832642
25353,True,0.1344209114271137,0.0935965257305937
25560,False,0.1734776181735613,0.1559632718792033
25569,True,0.1247317841394033,0.0950990264806779
25776,False,0.1781075368703845,0.1598625786670952
25785,True,0.1334914583495886,0.1095968162767069
25992,False,0.1729231758196337,0.1515022875460921
26001,True,0.1180795395230863,0.090725689669194
26208,False,0.172354623829033,0.1481554832335788
26217,True,0.1301534553094387,0.1013390399944701
26424,False,0.1649464893802241,0.1631661265596269
26433,True,0.1184957497222292,0.0985829058994023
26640,False,0.1807047087544717,0.1605222381806323
26649,True,0.1182282516588579,0.1023660036611613
26856,False,0.1722500655299513,0.1666132836956446
26865,True,0.1172227047570623,0.0896310229011525
27072,False,0.1718404227544898,0.1584649637414437
27081,True,0.1229760482445768,0.0911955644524054
27288,False,0.1769281932691016,0.1664593839347244
27297,True,0.1247216029543488,0.0796427818444633
27504,False,0.1796755693032759,0.1523187370774944
27513,True,0.1332748724873333,0.0916836322079143
27720,False,0.1737114663516141,0.1555789329549218
