,propNormal,operatingError,reportingError
31392,0.5,0.4151141092518589,0.5007448441381611
31608,0.1,0.8689384675866622,0.8366188233404993
31824,0.5,0.3986598545574394,0.4873556545177119
32040,0.1,0.8620776611829142,0.851858410086176
32256,0.5,0.4065377553997418,0.4859168925235449
32472,0.1,0.8671747021849484,0.8381130226150835
32688,0.5,0.4060403073223581,0.5025711131612149
32904,0.1,0.8654095942906543,0.838813550991184
33120,0.5,0.4085601835533914,0.5071816232886932
33336,0.1,0.8559562271310197,0.8363906789910577
33552,0.5,0.3884969379198454,0.4943925956669168
33768,0.1,0.8570754577661348,0.8487233089836779
33984,0.5,0.3904436212243162,0.4832733685325932
34200,0.1,0.8624621497777691,0.834305149916907
34416,0.5,0.4176927747443,0.4961055759798465
34632,0.1,0.8707505811355692,0.8463844958379788
34848,0.5,0.3969631967189647,0.4925113353979072
35064,0.1,0.8581334288964154,0.8393415597865358
35280,0.5,0.3985534588352231,0.4925021565575235
35496,0.1,0.8488855477029874,0.8432285879609751
35712,0.5,0.3924287117960178,0.4939605290692188
35928,0.1,0.8535993695179493,0.8253695062438338
36144,0.5,0.4074485750011308,0.4995903316448921
36360,0.1,0.8597106150548676,0.8409055962028762
36576,0.5,0.4054888076259761,0.4941433219873653
36792,0.1,0.8643488793171314,0.8463085928197853
37008,0.5,0.4097590884951397,0.5052058123881157
37224,0.1,0.8608040352938644,0.8339518248797299
37440,0.5,0.4024442574808572,0.4951570191187291
37656,0.1,0.8594112405248595,0.8424715633034309
37872,0.5,0.3986859524437643,0.5025693880995589
38088,0.1,0.8586579371974987,0.8325455951113789
38304,0.5,0.4061442619795201,0.5015049418960639
38520,0.1,0.8666943574989108,0.8364547675115328
38736,0.5,0.4007069472483974,0.4882400254174282
38952,0.1,0.8483860048977087,0.8394482071960414
39168,0.5,0.4130123245966239,0.4947936105177009
39384,0.1,0.8617739698507489,0.8386103188535452
39600,0.5,0.3910862582691463,0.4897996884427434
39816,0.1,0.8496037832021632,0.8445825253795688
40032,0.5,0.4149731494708019,0.5011336777829043
40248,0.1,0.8515645212948435,0.8441183166296525
40464,0.5,0.4033152766803267,0.4928497584777297
40680,0.1,0.8619578758911851,0.8184636832227272
40896,0.5,0.424752968078524,0.5086602089371606
41112,0.1,0.8445387775319949,0.8291537242796784
41328,0.5,0.4128552828848486,0.500470127625919
41544,0.1,0.8712132093169012,0.8391918752389016
41760,0.5,0.4159053653666298,0.4898858945952772
41976,0.1,0.8452553678187913,0.8245337076174296
42192,0.5,0.4051542453370238,0.4977322565196976
42408,0.1,0.8557202527091387,0.8272346284282597
42624,0.5,0.4116932807379297,0.501761633046256
42840,0.1,0.8560390404042009,0.8384529524542548
43056,0.5,0.4055050224235635,0.5008290399090675
43272,0.1,0.8571788348209022,0.8333050662896164
43488,0.5,0.4108268946359142,0.4912097992590895
43704,0.1,0.8607243726844749,0.8351820071730439
43920,0.5,0.3990980160047055,0.4980026566419129
44136,0.1,0.8521293813577923,0.8345836122178919
44352,0.5,0.403598477488376,0.4885807014217764
44568,0.1,0.852095834453478,0.8391497021562405
44784,0.5,0.4012456802443854,0.4800853168740991
45000,0.1,0.8506767950359112,0.8459231077654832
45216,0.5,0.406069325710666,0.5029373199192387
45432,0.1,0.8574368626809068,0.821596661747639
45648,0.5,0.3992849426394319,0.492426705954491
45864,0.1,0.8607931170276806,0.843978943995797
46080,0.5,0.4000216802435601,0.497125076697606
46296,0.1,0.8543766150203291,0.8331335479558193
46512,0.5,0.4114692853995933,0.4962452765499786
46728,0.1,0.8696482163979004,0.8459481316167792
46944,0.5,0.4110585753831585,0.4958851762357152
47160,0.1,0.8494948339810513,0.8426473986660793
47376,0.5,0.4055778969627606,0.4904916988869052
47592,0.1,0.8526558763111817,0.8441309391804812
47808,0.5,0.4031912598599058,0.4976307743231248
48024,0.1,0.8614869595300131,0.8447367189570503
48240,0.5,0.3955827403659486,0.4849094748042038
48456,0.1,0.8553802173608474,0.8412798472023776
48672,0.5,0.406460000789131,0.5114422291333738
48888,0.1,0.863505869556991,0.8408261567041522
49104,0.5,0.4105649495482917,0.5028352493596612
49320,0.1,0.8492386204794358,0.8499198527904194
49536,0.5,0.4017117975376182,0.4934343975028089
49752,0.1,0.8510350350968594,0.8332472958130092
49968,0.5,0.406637491720882,0.4979591962969448
50184,0.1,0.8595423094843632,0.8335762202497145
50400,0.5,0.4180542738736496,0.5112240401678438
50616,0.1,0.8572990575655426,0.8242002305204591
50832,0.5,0.4069050628325215,0.4858016492255842
51048,0.1,0.857558861080595,0.8384705721182105
51264,0.5,0.4040978580983252,0.4917271070627306
51480,0.1,0.8566287853239336,0.8514089126877039
51696,0.5,0.3992624675464665,0.4978070161493436
51912,0.1,0.8493270651561753,0.8365020043620648
52128,0.5,0.4187313882162808,0.5015342447372109
52344,0.1,0.8509387426233783,0.8378802362610012
52560,0.5,0.4048780533737731,0.492374947970735
