,velocity,operatingError,reportingError
7637,0.6,0.1584659168968284,0.1535864933489769
7638,0.7,0.1894751222693461,0.1564269356741961
7639,0.8,0.1895295526735255,0.1561541715749213
7640,0.9,0.1798116370047677,0.1425837279812214
7848,0.1,0.1740633590302635,0.1570540109231659
7849,0.2,0.1762072718367405,0.1453873592468328
7850,0.3,0.2046811218201901,0.1599574727203832
7851,0.4,0.1795746114892523,0.1509209295714468
7852,0.5,0.1866373662692209,0.1823680556269853
7853,0.6,0.1495063836320265,0.1631431289999715
7854,0.7,0.1602862257714949,0.1562456828725186
7855,0.8,0.2580539776415846,0.1586880614513274
7856,0.9,0.1920686514982457,0.1645732354504894
8064,0.1,0.1773791591427169,0.1605942865652856
8065,0.2,0.1806039746629404,0.161635804946013
8066,0.3,0.1619037191555915,0.131123317380771
8067,0.4,0.1833972822930429,0.1525185384695666
8068,0.5,0.1788119073047549,0.1603694178638987
8069,0.6,0.1697715733216232,0.2110333762358818
8070,0.7,0.1857000935840021,0.1576267788208436
8071,0.8,0.1580451361119201,0.1468247930042271
8072,0.9,0.2620167436544436,0.142395739024511
8280,0.1,0.1699369516057151,0.161660655969079
